RTO Code,City,District
TN1,Chennai Central,Chennai
TN2,Chennai North West,Chennai
TN3,Chennai North East,Chennai
TN4,Chennai East,Chennai
TN5,Chennai North,Chennai
TN6,Chennai South East,Chennai
TN7,Chennai South,Chennai
TN9,Chennai West,Chennai
TN10,Chennai South West,Chennai
TN11,Tambaram,Chengalpattu
TN12,Poonamallee,Thiruvallur
TN13,Ambattur,Thiruvallur
TN14,Sholinganallur,Chengalpattu
TN15,Ulundurpet,Kallakurichi
TN15Z,Kallakurichi,Kallakurichi
TN16,Tindivanam,Villupuram
TN16Z,Gingee,Villupuram
TN18,Red Hills,Thiruvallur
TN18Y,Gummidipoondi,Thiruvallur
TN19,Chengalpattu,Chengalpattu
TN19Y,Thirukalukundram,Chengalpattu
TN19Z,Madurantakam,Chengalpattu
TN20,Tiruvallur,Thiruvallur
TN20X,Tiruttani,Thiruvallur
TN21,Kanchipuram,Kanchipuram
TN22,Meenambakkam,Chennai
TN23,Vellore,Vellore
TN23T,Gudiyatham,Vellore
TN24,Krishnagiri,Krishnagiri
TN25,Thiruvannamalai,Thiruvannamalai
TN25Y,Cheyyar,Thiruvannamalai
TN25Z,Arani,Thiruvannamalai
TN28,Namakkal North,Namakkal
TN28Z,Rasipuram,Namakkal
TN29,Dharmapuri,Dharmapuri
TN29W,Palacode,Dharmapuri
TN30,Salem West,Salem
TN30W,Omalur,Salem
TN31,Cuddalore,Cuddalore
TN32,Villupuram,Villupuram
TN33,Erode East,Erode
TN34,Tiruchengode,Namakkal
TN34Z,Komarapalayam,Namakkal
TN36,Gobichettipalayam,Erode
TN36W,Bhavani,Erode
TN36Z,Sathyamangalam,Erode
TN37,Coimbatore South,Coimbatore
TN37Z,Sulur,Coimbatore
TN38,Coimbatore North,Coimbatore
TN39,Tiruppur North,Tiruppur
TN39Z,Avinashi,Tiruppur
TN40,Mettupalayam,Coimbatore
TN41,Pollachi,Coimbatore
TN42,Tiruppur South,Tiruppur
TN42Y,Palladam,Tiruppur
TN43,Ooty,Nilgiris
TN43Z,Gudalur,Nilgiris
TN45,Trichy West,Tiruchirappalli
TN46,Perambalur,Perambalur
TN47,Karur,Karur
TN47X,Manmangalam,Karur
TN47Y,Aravakurichi,Karur
TN47Z,Kulithalai,Karur
TN48,Srirangam,Tiruchirappalli
TN48X,Lalgudi,Tiruchirappalli
TN48Y,Musiri,Tiruchirappalli
TN48Z,Thuraiyur,Tiruchirappalli
TN49,Thanjavur,Thanjavur
TN49Y,Pattukottai,Thanjavur
TN50,Tiruvarur,Tiruvarur
TN50Y,Thiruthuraipoondi,Tiruvarur
TN50Z,Mannargudi,Tiruvarur
TN51,Nagapattinam,Nagapattinam
TN52,Sankagiri,Salem
TN54,Salem East,Salem
TN55,Pudukkottai,Pudukkottai
TN55Y,Illuppur,Pudukkottai
TN55Z,Aranthangi,Pudukkottai
TN56,Perundurai,Erode
TN57,Dindigul,Dindigul
TN58,Madurai (South),Madurai
TN58Z,Thirumangalam,Madurai
TN59,Madurai (North),Madurai
TN59V,Vadipatti,Madurai
TN60,Theni,Theni
TN60Z,Uthamapalayam,Theni
TN61,Ariyalur,Ariyalur
TN63,Sivagangai,Sivagangai
TN63Z,Karaikudi,Sivagangai
TN64,Madurai (Central),Madurai
TN65,Ramanathapuram,Ramanathapuram
TN65Z,Paramakudi,Ramanathapuram
TN66,Coimbatore (Central),Coimbatore
TN67,Virudhunagar,Virudhunagar
TN67W,Aruppukottai,Virudhunagar
TN68,Kumbakonam,Thanjavur
TN69,Thoothukudi (Tuticorin),Thoothukudi
TN70,Hosur,Krishnagiri
TN72,Tirunelveli,Tirunelveli
TN72V,Valliyur,Tirunelveli
TN73,Ranipet,Ranipet
TN73Z,Arakonam,Ranipet
TN74,Nagercoil,Kanniyakumari
TN75,Marthandam,Kanniyakumari
TN76,Tenkasi,Tenkasi
TN76V,Ambasamudram,Tenkasi
TN77,Attur,Salem
TN78,Dharapuram,Tiruppur
TN78Z,Udumalpet,Tiruppur
TN79,Sankarankovil,Tenkasi
TN81,Trichy East,Tiruchirappalli
TN82,Mayiladuthurai,Mayiladuthurai
TN83,Vaniyambadi,Tirupattur
TN83M,Tirupattur,Tirupattur
TN83Y,Ambur,Tirupattur
TN83Z,Tirupattur,Tirupattur
TN84,Srivilliputtur,Virudhunagar
TN85,Kundrathur,Kanchipuram
TN86,Erode West,Erode
TN87,Sriperumbudur,Kanchipuram
TN88,Namakkal South,Namakkal
TN88Z,Paramathi Velur,Namakkal
TN90,Salem South,Salem
TN91,Chidambaram,Cuddalore
TN91Y,Neyveli,Cuddalore
TN91Z,Virudhachalam,Cuddalore
TN92,Thiruchendur,Thoothukudi
TN93,Mettur,Salem
TN94,Palani,Dindigul
TN95,Sivakasi,Virudhunagar
TN96,Kovilpatti,Thoothukudi
TN97,Arani,Thiruvannamalai
TN97Z,Cheyyar,Thiruvannamalai
TN99,Coimbatore (West),Coimbatore
KA1,Koramangala,Bengaluru Urban
KA2,Rajajinagar,Bengaluru Urban
KA3,Indiranagar,Bengaluru Urban
KA4,Yeshwanthpur,Bengaluru Urban
KA5,Jayanagar,Bengaluru Urban
KA6,Tumakuru,Tumakuru
KA7,Kolar,Kolar
KA8,Kolar Gold Fields (KGF),Kolar
KA9,Mysuru West,Mysuru
KA10,Chamarajanagar,Chamarajanagar
