RTO Code,City,District
AP41,Chilakaluripet,Guntur
CG31,Not found,Not found
HP12,Nalagarh,Solan
HP14,Solan,Solan
HP15,Solan,Solan
HP16,Sirmaur,Sirmaur
HP17,Paonta Sahib,Sirmaur
HP18,Nahan,Sirmaur
HP19,Amb,Una
HP20,Una,Una
HP21,Barsar,Hamirpur
HP22,Hamirpur,Hamirpur
HP23,Bilaspur,Bilaspur
HP24,Bilaspur,Bilaspur
HP25,Rekong Peo,Kinnaur
HP28,Sarkaghat,Mandi
HP29,Jogindernagar,Mandi
HP31,Sundernagar,Mandi
HP32,Gohar,Mandi
HP33,Mandi,Mandi
HP34,Kullu,Kullu
HP36,Dehra,Kangra
HP37,Palampur,Kangra
HP38,Nurpur,Kangra
HP39,Kangra,Kangra
HP40,Kangra,Kangra
HP48,Chamba,Chamba
HP53,Baijnath,Kangra
HP54,Jawali,Kangra
HP55,Nadaun,Hamirpur
HP56,Jaisinghpur,Kangra
HP57,Chowari,Chamba
HP58,Manali,Kullu
HP63,Shimla,Shimla
HP64,Solan,Solan
HP65,Mandi,Mandi
HP66,Kullu,Kullu
HP67,Hamirpur,Hamirpur
HP68,Dharamshala,Kangra
HP71,Nahan,Sirmaur
HP72,Una,Una
HP73,Chamba,Chamba
HP74,Bhoranj,Hamirpur
HP78,Bangana,Una
HP80,Haroli,Una
HP82,Balh,Mandi
HP83,Jawalaji,Kangra
HP84,Sujanpur Tihra,Hamirpur
HP86,Dharampur,Mandi
HP88,Fatehpur,Kangra
HP89,Jhandutta,Bilaspur
HP90,Shahpur,Kangra
HP91,Naina Devi (Swarghat),Bilaspur
HP94,Nagrota Bagwan,Kangra
HP96,Dheera,Kangra
HP97,Indora,Kangra
HP98,Kasauli,Solan
WB75,Katwa,Purba Bardhaman
AP221,Adoni,Kurnool
AP205,Amalapuram,Konaseema
AP131,Anakapalli,Anakapalli
AP126,Atmakur,Kurnool
AP207,Bapatla,Bapatla
AP137,Bhimavaram,West Godavari
AP307,Chilakaluripeta,Prakasam
AP905,Chintoor,East Godavari
AP127,Chirala,Prakasam
AP427,Darsi,Prakasam
AP231,Gajuwaka,Visakhapatnam
AP116,Gudiwada,Krishna
AP226,Gudur,Nellore
AP202,Guntakal,Anantapur
AP102,Hindupur,Anantapur
AP130,Itchapuram,Srikakulam
AP616,Jaggayyapet,Krishna
AP237,Jangareddygudem,West Godavari
AP227,Kandukur,Prakasam
AP326,Kavali,Nellore
AP337,Kovvuru,West Godavari
AP407,Macherla,Prakasam
AP405,Mandapeta,East Godavari
AP327,Markapur,Prakasam
AP316,Nandigama,Krishna
AP121,Nandyal,Nandyal
AP107,Narasaraopet,Palnadu
AP331,Narsipatnam,Visakhapatnam
AP416,Nuzvid,Krishna
AP637,Palakole,West Godavari
AP230,Palakonda,Parvathipuram Manyam
AP303,Palamaner,Chittoor
AP135,Parvathipuram,Parvathipuram Manyam
AP607,Piduguralla,Palnadu
AP204,Proddutur,YSR
AP304,Pulivendula,YSR
AP113,Punganur,Chittoor
